,?,count,distance
0,3213,61,1.0
1,3214,60,1.0
2,3215,47,1.0
3,3216,59,1.0
4,3217,62,1.0
5,3218,50,1.0
6,3219,63,1.0
7,3220,67,1.0
8,3221,56,1.0
9,3222,69,1.0
10,3231,84,1.25
11,3232,58,1.25
12,3233,61,1.25
13,3234,62,1.25
14,3235,56,1.25
15,3236,67,1.25
16,3237,72,1.25
17,3238,75,1.25
18,3239,61,1.25
19,3240,49,1.25
20,3250,65,1.5
21,3251,51,1.5
22,3252,56,1.5
23,3253,63,1.5
24,3254,54,1.5
25,3255,65,1.5
26,3256,73,1.5
27,3257,55,1.5
28,3258,54,1.5
29,3259,69,1.5
30,3264,129,1.75
31,3265,119,1.75
32,3266,130,1.75
33,3267,126,1.75
34,3268,135,1.75
35,3269,127,1.75
36,3270,127,1.75
37,3271,123,1.75
38,3272,126,1.75
39,3273,141,1.75
40,3279,53,2.0
41,3280,47,2.0
42,3281,45,2.0
43,3282,62,2.0
44,3283,52,2.0
45,3284,55,2.0
46,3285,45,2.0
47,3286,38,2.0
48,3287,35,2.0
49,3288,42,2.0
50,3295,206,2.25
51,3296,181,2.25
52,3297,169,2.25
53,3298,159,2.25
54,3299,200,2.25
55,3300,180,2.25
56,3301,173,2.25
57,3302,174,2.25
58,3303,161,2.25
59,3304,185,2.25
60,3310,91,2.5
61,3311,77,2.5
62,3312,85,2.5
63,3313,97,2.5
64,3314,102,2.5
65,3315,82,2.5
66,3316,108,2.5
67,3317,96,2.5
68,3318,106,2.5
69,3319,98,2.5
70,3327,132,2.75
71,3328,118,2.75
72,3329,112,2.75
73,3330,112,2.75
74,3331,101,2.75
75,3332,120,2.75
76,3333,115,2.75
77,3334,93,2.75
78,3335,121,2.75
79,3336,106,2.75
80,3342,247,3.0
81,3343,213,3.0
82,3344,237,3.0
83,3345,231,3.0
84,3346,245,3.0
85,3347,215,3.0
86,3348,220,3.0
87,3349,212,3.0
88,3350,219,3.0
89,3351,231,3.0
90,3356,40,3.25
91,3357,41,3.25
92,3358,52,3.25
93,3359,43,3.25
94,3360,40,3.25
95,3361,43,3.25
96,3362,52,3.25
97,3363,40,3.25
98,3364,39,3.25
99,3365,40,3.25
100,3373,278,3.5
101,3374,274,3.5
102,3375,250,3.5
103,3376,279,3.5
104,3377,268,3.5
105,3378,282,3.5
106,3379,259,3.5
107,3380,268,3.5
108,3381,256,3.5
109,3382,274,3.5
110,3389,92,3.75
111,3390,76,3.75
112,3391,102,3.75
113,3392,99,3.75
114,3393,97,3.75
115,3394,92,3.75
116,3395,93,3.75
117,3396,84,3.75
118,3397,100,3.75
119,3398,84,3.75
120,3404,169,4.0
121,3405,163,4.0
122,3406,167,4.0
123,3407,156,4.0
124,3408,161,4.0
125,3409,160,4.0
126,3410,156,4.0
127,3411,168,4.0
128,3412,135,4.0
129,3413,170,4.0
130,3417,195,4.25
131,3418,188,4.25
132,3419,192,4.25
133,3420,164,4.25
134,3421,172,4.25
135,3422,164,4.25
136,3423,204,4.25
137,3424,192,4.25
138,3425,178,4.25
139,3426,167,4.25
140,3434,57,4.5
141,3435,50,4.5
142,3436,65,4.5
143,3437,58,4.5
144,3438,47,4.5
145,3439,36,4.5
146,3440,59,4.5
147,3441,51,4.5
148,3442,43,4.5
149,3443,46,4.5
150,3449,159,4.75
151,3450,170,4.75
152,3451,160,4.75
153,3452,158,4.75
154,3453,183,4.75
155,3454,156,4.75
156,3455,172,4.75
157,3456,163,4.75
158,3457,175,4.75
159,3458,162,4.75
160,3463,47,5.0
161,3464,45,5.0
162,3465,49,5.0
163,3466,56,5.0
164,3467,52,5.0
165,3468,50,5.0
166,3469,60,5.0
167,3470,53,5.0
168,3471,62,5.0
169,3472,47,5.0
170,3482,96,5.25
171,3483,111,5.25
172,3484,105,5.25
173,3485,93,5.25
174,3486,78,5.25
175,3487,97,5.25
176,3488,77,5.25
177,3489,78,5.25
178,3490,95,5.25
179,3491,96,5.25
180,3496,81,5.5
181,3497,100,5.5
182,3498,83,5.5
183,3499,86,5.5
184,3500,83,5.5
185,3501,78,5.5
186,3502,76,5.5
187,3503,85,5.5
188,3504,87,5.5
189,3505,85,5.5
190,3511,45,5.75
191,3512,56,5.75
192,3513,48,5.75
193,3514,48,5.75
194,3515,49,5.75
195,3516,51,5.75
196,3517,57,5.75
197,3518,46,5.75
198,3519,55,5.75
199,3520,40,5.75
200,3529,38,6.0
201,3530,51,6.0
202,3531,43,6.0
203,3532,62,6.0
204,3533,65,6.0
205,3534,58,6.0
206,3535,54,6.0
207,3536,62,6.0
208,3537,46,6.0
209,3538,66,6.0
210,3547,36,6.25
211,3548,53,6.25
212,3549,41,6.25
213,3550,43,6.25
214,3551,36,6.25
215,3552,51,6.25
216,3553,46,6.25
217,3554,43,6.25
218,3555,46,6.25
219,3556,46,6.25
220,3561,37,6.5
221,3562,43,6.5
222,3563,30,6.5
223,3564,37,6.5
224,3565,28,6.5
225,3566,40,6.5
226,3567,48,6.5
227,3568,45,6.5
228,3569,45,6.5
229,3570,42,6.5
230,3574,37,6.75
231,3575,39,6.75
232,3576,33,6.75
233,3577,38,6.75
234,3578,26,6.75
235,3579,38,6.75
236,3580,42,6.75
237,3581,43,6.75
238,3582,33,6.75
239,3583,43,6.75
240,3588,42,7.0
241,3589,36,7.0
242,3590,36,7.0
243,3591,29,7.0
244,3592,36,7.0
245,3593,46,7.0
246,3594,49,7.0
247,3595,37,7.0
248,3596,35,7.0
249,3597,39,7.0
